Sl_No,State,Per_Capita_GSDP___2019_2020,Per_Capita_GSDP___2020_2021,Per_Capita_GSDP___2021_22,Per_Capita_GSDP___2022_23,Per_Capita_GSDP___2023_24
1,Andhra Pradesh,179280,188384,219799,245582,270295.0
2,Arunachal Pradesh,198701,200035,212372,225770,
3,Assam,100501,97401,116554,134591,158807.0
4,Bihar,48263,46412,52144,59244,66828.0
5,Chhatisgarh,119066,120113,138256,154609,166520.0
6,Goa,485645,476900,519681,567344,
7,Gujarat,238978,232862,273290,309691,
8,Haryana,258006,251311,295325,329777,361993.0
9,Himachal Pradesh,217229,205589,232180,257249,276943.0
10,Jharkhand,82276,77561,97035,106310,115960.0
11,Karnataka,244437,246366,294833,336221,368085.0
12,Kerala,233338,220400,259878,286595,317723.0
13,Madhya Pradesh,111927,112640,128406,144688,156381.0
14,Maharashtra,216319,210603,251521,289404,318560.0
15,Manipur,86681,84731,110184,125406,
16,Meghalaya,106267,102259,120678,138381,156326.0
17,Mizoram,208594,197710,218634,248908,
18,Nagaland,137510,136093,145799,166369,
19,Odisha,118903,118586,151971,164564,183767.0
20,Punjab,173119,172098,197156,211204,227950.0
21,Rajasthan,128451,129077,149763,168338,187454.0
22,Sikkim,471379,490607,553671,622120,707181.0
23,Tamil Nadu,229657,234486,270787,311778,353483.0
24,Telangana,254402,250825,297251,345226,393385.0
25,Tripura,134973,132076,152329,175261,198379.0
26,Uttarakhand,213304,198851,232947,262174,295751.0
27,Uttar Pradesh,74679,71410,85293,97323,107468.0
28,West Bengal,121232,116664,135080,154905,171184.0
