state_display,state_normalized,fy,total_reported_rupees,total_imputed_rupees,capex,education,health,other,social,total,sum_categorized_rupees,remainder_rupees,remainder_rel,total_vs_components_rel
All States/UT,All States Ut,2001,270900.0,270900.0,301911.6,67126.59999999999,19045.03,2174879.49,175473.66,602340.8400000001,3340777,-3069877,-11.3321208830727,-0.9189109473154274
All States/UT,All States Ut,2001,331440.0,331440.0,301911.6,67126.59999999999,19045.03,2174879.49,175473.66,602340.8400000001,3340777,-3009337,-9.079572139037497,-0.9007894396502142
All States/UT,All States Ut,2002,294009.0,294009.0,346449.81,67938.84999999999,19714.95,2403755.65,183640.39,649256.99,3670757,-3376748,-11.485197767453744,-0.9199051533963852
All States/UT,All States Ut,2002,355248.0,355248.0,346449.81,67938.84999999999,19714.95,2403755.65,183640.39,649256.99,3670757,-3315508,-9.332932318043463,-0.9032220506996071
All States/UT,All States Ut,2003,329927.0,329927.0,506904.58,72385.81999999999,20743.75,2936796.99,201194.94,731979.24,4470005,-4140079,-12.548478428877878,-0.92619097375034
All States/UT,All States Ut,2003,402052.0,402052.0,506904.58,72385.81999999999,20743.75,2936796.99,201194.94,731979.24,4470005,-4067953,-10.117964245962904,-0.9100554761755854
All States/UT,All States Ut,2004,384439.0,384439.0,1770166.9400000002,79173.68000000001,22352.72,5701343.19,221867.57,813180.3200000001,8608084,-8223645,-21.39127299329418,-0.9553397432875084
All States/UT,All States Ut,2004,428741.0,428741.0,1770166.9400000002,79173.68000000001,22352.72,5701343.19,221867.57,813180.3200000001,8608084,-8179343,-19.077583471944585,-0.9501932091878812
All States/UT,All States Ut,2005,454243.0,454243.0,2536029.81,89389.29000000001,26318.55,7095676.68,257394.83,925663.75,10930473,-10476230,-23.06305725416952,-0.9584425208552116
All States/UT,All States Ut,2005,471421.0,471421.0,2536029.81,89389.29000000001,26318.55,7095676.68,257394.83,925663.75,10930473,-10459052,-22.18623138963837,-0.9568709557325092
All States/UT,All States Ut,2006,531429.0,531429.0,3259480.02,100496.24,29398.45,8942179.24,297354.41,1068423.48,13697332,-13165903,-24.774535650445024,-0.9612020168447638
